Apparel & Accessories_hashtag,Apparel & Accessories_rank_today,Apparel & Accessories_rank_prev_state,Apparel & Accessories_rank_delta,Appliances_hashtag,Appliances_rank_today,Appliances_rank_prev_state,Appliances_rank_delta,Apps_hashtag,Apps_rank_today,Apps_rank_prev_state,Apps_rank_delta,"Baby, Kids & Maternity_hashtag","Baby, Kids & Maternity_rank_today","Baby, Kids & Maternity_rank_prev_state","Baby, Kids & Maternity_rank_delta",Beauty & Personal Care_hashtag,Beauty & Personal Care_rank_today,Beauty & Personal Care_rank_prev_state,Beauty & Personal Care_rank_delta,Business Services_hashtag,Business Services_rank_today,Business Services_rank_prev_state,Business Services_rank_delta,E-Commerce (Non-app)_hashtag,E-Commerce (Non-app)_rank_today,E-Commerce (Non-app)_rank_prev_state,E-Commerce (Non-app)_rank_delta,Education_hashtag,Education_rank_today,Education_rank_prev_state,Education_rank_delta,Financial Services_hashtag,Financial Services_rank_today,Financial Services_rank_prev_state,Financial Services_rank_delta,Food & Beverage_hashtag,Food & Beverage_rank_today,Food & Beverage_rank_prev_state,Food & Beverage_rank_delta,Games_hashtag,Games_rank_today,Games_rank_prev_state,Games_rank_delta,Health_hashtag,Health_rank_today,Health_rank_prev_state,Health_rank_delta,Home Improvement_hashtag,Home Improvement_rank_today,Home Improvement_rank_prev_state,Home Improvement_rank_delta
buy 1 get 1 free,29,56,27,,,,,new friends,120,134,14,,,,,current price,110,117,7,,,,,,,,,,,,,,,,,,,,,no wifi,133,118,-15,stethoscope,43,42,-1,,,,
up to 50 % off,152,179,27,,,,,get started,142,156,14,,,,,permanent teeth are 24hrs away,23,29,6,,,,,,,,,,,,,,,,,,,,,unlock fun,135,120,-15,your free,51,50,-1,,,,
compressionshirt,153,180,27,,,,,download today,143,157,14,,,,,human hair,36,42,6,,,,,,,,,,,,,,,,,,,,,simulator,153,138,-15,limited time,52,51,-1,,,,
maxi dress,163,190,27,,,,,your love,184,198,14,,,,,check the product page,84,90,6,,,,,,,,,,,,,,,,,,,,,playing games,191,176,-15,for summer,103,102,-1,,,,
for work,172,199,27,,,,,live wallpapers,247,261,14,,,,,this video,89,95,6,,,,,,,,,,,,,,,,,,,,,free gift,230,215,-15,clinically proven,222,221,-1,,,,
progressive lenses,188,215,27,,,,,ai assistant,336,350,14,,,,,lip liner,98,104,6,,,,,,,,,,,,,,,,,,,,,fun and relaxing,231,216,-15,great deal,10,8,-2,,,,
silver,264,291,27,,,,,each week,346,360,14,,,,,probiotics,107,113,6,,,,,,,,,,,,,,,,,,,,,simulation games,268,253,-15,magnesium complex,91,89,-2,,,,
first order,346,373,27,,,,,send money,123,136,13,,,,,body wash,57,62,5,,,,,,,,,,,,,,,,,,,,,give it,364,349,-15,actually works,240,238,-2,,,,
fabric,347,374,27,,,,,first song in minutes,125,138,13,,,,,clinically proven,77,82,5,,,,,,,,,,,,,,,,,,,,,keep your brain young,431,416,-15,here’s how,257,255,-2,,,,
formal,335,361,26,,,,,get cash,147,160,13,,,,,4 free,103,108,5,,,,,,,,,,,,,,,,,,,,,foundation,485,470,-15,testosterone,258,256,-2,,,,
springfashion,44,69,25,,,,,sign up today,191,204,13,,,,,"shine brighter, smile wider",111,116,5,,,,,,,,,,,,,,,,,,,,,play this,36,20,-16,men,7,4,-3,,,,
frames,63,88,25,,,,,transform your look instantly,267,280,13,,,,,whitening strips,236,241,5,,,,,,,,,,,,,,,,,,,,,it now,50,34,-16,buy flash sale discount,55,52,-3,,,,
high quality,183,208,25,,,,,best dog training app,268,281,13,,,,,clusters,272,277,5,,,,,,,,,,,,,,,,,,,,,join the fun,61,45,-16,stress,73,70,-3,,,,
glove,193,218,25,,,,,dog training app,269,282,13,,,,,try it,42,46,4,,,,,,,,,,,,,,,,,,,,,90% of players failed,76,60,-16,call us today,99,96,-3,,,,
70%off,317,342,25,,,,,location tracking,288,301,13,,,,,check the,49,53,4,,,,,,,,,,,,,,,,,,,,,strategy game,81,65,-16,feel better,120,117,-3,,,,
womenswear,356,381,25,,,,,cash app,433,446,13,,,,,grab it,81,85,4,,,,,,,,,,,,,,,,,,,,,free play,93,77,-16,personalised trauma plan,219,216,-3,,,,
lace,400,425,25,,,,,join now,135,147,12,,,,,glass skin,119,123,4,,,,,,,,,,,,,,,,,,,,,try it now,111,95,-16,lungdetox,229,226,-3,,,,
earrings,7,31,24,,,,,time tracking,162,174,12,,,,,vitamin c,232,236,4,,,,,,,,,,,,,,,,,,,,,relaxing game,140,124,-16,beet root,267,264,-3,,,,
flash sale,34,58,24,,,,,try our,193,205,12,,,,,discount today,290,294,4,,,,,,,,,,,,,,,,,,,,,never die,141,125,-16,gel,76,72,-4,,,,
limited time,39,63,24,,,,,100% online,230,242,12,,,,,her fantasy box,295,299,4,,,,,,,,,,,,,,,,,,,,,slow down,148,132,-16,nitric oxide,89,85,-4,,,,
stylish,51,75,24,,,,,tracking app,286,298,12,,,,,perfumes,17,20,3,,,,,,,,,,,,,,,,,,,,,actually a bit challenging,170,154,-16,call us,98,94,-4,,,,
christmas,53,77,24,,,,,for free now,429,441,12,,,,,all day,27,30,3,,,,,,,,,,,,,,,,,,,,,right now,244,228,-16,rainbow light,173,169,-4,,,,
15% off,58,82,24,,,,,self-care,430,442,12,,,,,for women,48,51,3,,,,,,,,,,,,,,,,,,,,,playing now,350,334,-16,consult your doctor,227,223,-4,,,,
shop our,71,95,24,,,,,dog training,436,448,12,,,,,great deal today,63,66,3,,,,,,,,,,,,,,,,,,,,,unlock exclusive rewards,461,445,-16,en descuento hoy,269,265,-4,,,,
valentine’s day,75,99,24,,,,,free install,437,449,12,,,,,check the product,80,83,3,,,,,,,,,,,,,,,,,,,,,can you solve,44,27,-17,right now,69,64,-5,,,,
true to size,101,125,24,,,,,start your free trial,48,59,11,,,,,toothbrush,86,89,3,,,,,,,,,,,,,,,,,,,,,play to win,46,29,-17,great deal today,179,174,-5,,,,
discounts disappear soon,103,127,24,,,,,stop scrolling,105,116,11,,,,,game changer,95,98,3,,,,,,,,,,,,,,,,,,,,,free coins,47,30,-17,any man over 30,249,244,-5,,,,
grab yours now,236,260,24,,,,,call me now,107,118,11,,,,,black,96,99,3,,,,,,,,,,,,,,,,,,,,,solve this,54,37,-17,for women,32,26,-6,,,,
cute,10,33,23,,,,,real time tracking,108,119,11,,,,,fragrancetiktok,126,129,3,,,,,,,,,,,,,,,,,,,,,relieving stress and fatigue,58,41,-17,acne,53,47,-6,,,,
gold,22,45,23,,,,,boost your credit,188,199,11,,,,,double discount today,292,295,3,,,,,,,,,,,,,,,,,,,,,stress and fatigue,59,42,-17,nitric oxide booster,248,242,-6,,,,
for women,28,51,23,,,,,tv remote,189,200,11,,,,,50 %off,24,26,2,,,,,,,,,,,,,,,,,,,,,play to win real cash,63,46,-17,shop discount sale,252,246,-6,,,,
long sleeve,48,71,23,,,,,start your free,280,291,11,,,,,hair loss,33,35,2,,,,,,,,,,,,,,,,,,,,,the toilet,69,52,-17,amazing deal,34,27,-7,,,,
so cute,125,148,23,,,,,ai photo,285,296,11,,,,,concealer,34,36,2,,,,,,,,,,,,,,,,,,,,,100 % free,72,55,-17,vitamins,48,41,-7,,,,
tracksuit,302,325,23,,,,,click to download and watch,440,451,11,,,,,love it,72,74,2,,,,,,,,,,,,,,,,,,,,,can you solve this,89,72,-17,alzheimer,111,104,-7,,,,
lounge set,305,328,23,,,,,real connections,274,284,10,,,,,colognes,161,163,2,,,,,,,,,,,,,,,,,,,,,100% free game,103,86,-17,supplements,62,54,-8,,,,
dresses,16,38,22,,,,,free now,294,304,10,,,,,great deal today only,221,223,2,,,,,,,,,,,,,,,,,,,,,free now,125,108,-17,watch this,83,75,-8,,,,
black,20,42,22,,,,,cash out,298,308,10,,,,,teeth whitening,222,224,2,,,,,,,,,,,,,,,,,,,,,join the challenge now,158,141,-17,veterans,210,202,-8,,,,
backpack,32,54,22,,,,,must-have,428,438,10,,,,,en descuento hoy,223,225,2,,,,,,,,,,,,,,,,,,,,,your friends,183,166,-17,winter,109,100,-9,,,,
for men,54,76,22,,,,,now for free,42,51,9,,,,,girlies,245,247,2,,,,,,,,,,,,,,,,,,,,,get your,212,195,-17,more energy,202,193,-9,,,,
mini,59,81,22,,,,,free up,44,53,9,,,,,1 free,246,248,2,,,,,,,,,,,,,,,,,,,,,play your favorite songs,258,241,-17,kind patches,204,195,-9,,,,
dress pants,123,145,22,,,,,find out,60,69,9,,,,,easy to use,262,264,2,,,,,,,,,,,,,,,,,,,,,many levels can you pass,261,244,-17,madmuscles,22,12,-10,,,,
wide-leg,224,246,22,,,,,transform your photos,115,124,9,,,,,wrinkles,12,13,1,,,,,,,,,,,,,,,,,,,,,mmorpg,429,412,-17,for daily,90,80,-10,,,,
workpant,225,247,22,,,,,3 items,134,143,9,,,,,perfumetiktok,15,16,1,,,,,,,,,,,,,,,,,,,,,give it a shot now,437,420,-17,blood pressure,119,108,-11,,,,
live now,226,248,22,,,,,create your own dance video,155,164,9,,,,,good deal,21,22,1,,,,,,,,,,,,,,,,,,,,,join the epic battle,464,447,-17,natural prostate relief gel,100,88,-12,,,,
mask,228,250,22,,,,,50 %off,28,36,8,,,,,flash sale,43,44,1,,,,,,,,,,,,,,,,,,,,,your jackpot awaits,489,472,-17,lymphatic drainage,122,110,-12,,,,
colored contacts,234,256,22,,,,,dating app,69,77,8,,,,,70% off,53,54,1,,,,,,,,,,,,,,,,,,,,,"anytime, anywhere",27,9,-18,qualify today,217,205,-12,,,,
link in bio,299,321,22,,,,,right now,87,95,8,,,,,fine lines,55,56,1,,,,,,,,,,,,,,,,,,,,,all day,33,15,-18,multivitamin,71,58,-13,,,,
yours now,315,337,22,,,,,women,114,122,8,,,,,see this,56,57,1,,,,,,,,,,,,,,,,,,,,,real money,35,17,-18,50% off,97,84,-13,,,,
short sleeve,369,391,22,,,,,play games,127,135,8,,,,,eye bags,60,61,1,,,,,,,,,,,,,,,,,,,,,can you solve this puzzle,39,21,-18,antiaging,85,71,-14,,,,
bras,45,66,21,,,,,transform your look,413,421,8,,,,,fake tan unreal color,62,63,1,,,,,,,,,,,,,,,,,,,,,make it,43,25,-18,blood sugar complex,162,146,-16,,,,
buy one,107,128,21,,,,,real time,33,40,7,,,,,lip stain,70,71,1,,,,,,,,,,,,,,,,,,,,,casual mini-games,49,31,-18,4 implants,146,129,-17,,,,
use code,113,134,21,,,,,start your free trial today,39,46,7,,,,,wiginstall,71,72,1,,,,,,,,,,,,,,,,,,,,,get it,51,33,-18,for daily comfort,113,95,-18,,,,
oversizedhoodie,284,305,21,,,,,see more,43,50,7,,,,,ladies,90,91,1,,,,,,,,,,,,,,,,,,,,,this game is harder,66,48,-18,prostate relief gel,115,97,-18,,,,
zip up,367,388,21,,,,,real money,91,98,7,,,,,body care,102,103,1,,,,,,,,,,,,,,,,,,,,,5 minutes,79,61,-18,click that link,230,212,-18,,,,
bagsmart,376,397,21,,,,,fast and easy,152,159,7,,,,,sensitive skin,125,126,1,,,,,,,,,,,,,,,,,,,,,casual fun,85,67,-18,digestive enzymes,205,185,-20,,,,
glasses,1,21,20,,,,,learn more,404,411,7,,,,,chocolate brown,165,166,1,,,,,,,,,,,,,,,,,,,,,solve the puzzle,94,76,-18,free consult,251,231,-20,,,,
casual,3,23,20,,,,,easy to use,456,463,7,,,,,lash clusters,166,167,1,,,,,,,,,,,,,,,,,,,,,rpg,107,89,-18,herbal extracts,126,105,-21,,,,
womensfashion,5,25,20,,,,,low prices,488,495,7,,,,,glowing skin,198,199,1,,,,,,,,,,,,,,,,,,,,,so much fun,128,110,-18,uroprobiotic,234,213,-21,,,,
sweatpants,6,26,20,,,,,try boo now,15,21,6,,,,,hair balm,225,226,1,,,,,,,,,,,,,,,,,,,,,free virtual coins,139,121,-18,clean nutra,250,229,-21,,,,
jacket,14,34,20,,,,,watch more episodes,31,37,6,,,,,pimple patches,254,255,1,,,,,,,,,,,,,,,,,,,,,win big,154,136,-18,kneepain,264,241,-23,,,,
winter,15,35,20,,,,,واحصل على,76,82,6,,,,,wig,1,1,0,,,,,,,,,,,,,,,,,,,,,know what,155,137,-18,back pain,176,152,-24,,,,
leather,21,41,20,,,,,curious about someone,79,85,6,,,,,great deal,2,2,0,,,,,,,,,,,,,,,,,,,,,your phone,207,189,-18,15% off,156,131,-25,,,,
black friday,23,43,20,,,,,best digital filters app,81,87,6,,,,,makeup,3,3,0,,,,,,,,,,,,,,,,,,,,,click to,208,190,-18,weekly dose,40,14,-26,,,,
top,24,44,20,,,,,digital filters app,82,88,6,,,,,free shipping,4,4,0,,,,,,,,,,,,,,,,,,,,,brain teaser,266,248,-18,grab yours,190,162,-28,,,,
purse,33,53,20,,,,,easiest way to go viral,83,89,6,,,,,lash,5,5,0,,,,,,,,,,,,,,,,,,,,,upgrade your weapon,267,249,-18,e27 bottle,96,67,-29,,,,
jumpsuit,37,57,20,,,,,join us,382,388,6,,,,,lashes,6,6,0,,,,,,,,,,,,,,,,,,,,,play right here,371,353,-18,glowing skin,195,165,-30,,,,
seamlessbra,41,61,20,,,,,never miss,383,389,6,,,,,amazing deal,7,7,0,,,,,,,,,,,,,,,,,,,,,totally free,373,355,-18,ladies,155,123,-32,,,,
up to 40% off,47,67,20,,,,,no ads,409,415,6,,,,,shampoo,8,8,0,,,,,,,,,,,,,,,,,,,,,chase your dreams together,390,372,-18,the test,160,125,-35,,,,
spring,50,70,20,,,,,stay on,453,459,6,,,,,acne,9,9,0,,,,,,,,,,,,,,,,,,,,,sign up now,406,388,-18,try before,151,115,-36,,,,
cloth,52,72,20,,,,,go viral,22,27,5,,,,,wigs,10,10,0,,,,,,,,,,,,,,,,,,,,,save the world from zombies,442,424,-18,try before you buy,152,116,-36,,,,
bags,77,97,20,,,,,get up,75,80,5,,,,,women,11,11,0,,,,,,,,,,,,,,,,,,,,,shot now,443,425,-18,migraines,191,155,-36,,,,
grab yours,81,101,20,,,,,realtime location,86,91,5,,,,,men,14,14,0,,,,,,,,,,,,,,,,,,,,,tap to,20,1,-19,astaxanthin,228,187,-41,,,,
buy 1,116,136,20,,,,,all for free,95,100,5,,,,,deodorant,18,18,0,,,,,,,,,,,,,,,,,,,,,"claim 1,000,000 welcome coins",26,7,-19,tap the,225,183,-42,,,,
for everyday wear,279,299,20,,,,,windows,207,212,5,,,,,limited time,19,19,0,,,,,,,,,,,,,,,,,,,,,"free, free",45,26,-19,full-size,117,74,-43,,,,
new arrivals,379,399,20,,,,,get it now,211,216,5,,,,,pressonnail,25,25,0,,,,,,,,,,,,,,,,,,,,,think it's easy,68,49,-19,take the test,161,111,-50,,,,
get you one,419,439,20,,,,,chat rooms,255,260,5,,,,,permanent teeth in 24 hours,65,65,0,,,,,,,,,,,,,,,,,,,,,that's impossible,82,63,-19,man,260,210,-50,,,,
oversized,8,27,19,,,,,more followers,359,364,5,,,,,extensions,128,128,0,,,,,,,,,,,,,,,,,,,,,left or right,97,78,-19,orange,196,144,-52,,,,
tshirt,9,28,19,,,,,best ai interior design app,395,400,5,,,,,brown,145,145,0,,,,,,,,,,,,,,,,,,,,,can you do better,98,79,-19,in detroit,216,159,-57,,,,
sneakers,11,30,19,,,,,design your dream,396,401,5,,,,,summerfridays,152,152,0,,,,,,,,,,,,,,,,,,,,,free spins,134,115,-19,diabetes,224,163,-61,,,,
shorts,13,32,19,,,,,all the hottest short dramas,398,403,5,,,,,christmas,154,154,0,,,,,,,,,,,,,,,,,,,,,think you’re right,146,127,-19,energy levels,245,173,-72,,,,
sandals,30,49,19,,,,,explore random video calls,401,406,5,,,,,smells so good,172,172,0,,,,,,,,,,,,,,,,,,,,,get ready,206,187,-19,joint pain,175,99,-76,,,,
shirts,40,59,19,,,,,explore now,411,416,5,,,,,friday sale,197,197,0,,,,,,,,,,,,,,,,,,,,,tower defense,217,198,-19,get up,254,,,,,,
plus size,43,62,19,,,,,join millions of creators today,450,455,5,,,,,glueless wig,228,228,0,,,,,,,,,,,,,,,,,,,,,can you figure it out,264,245,-19,take it,255,,,,,,
tee,49,68,19,,,,,check your iq score,476,481,5,,,,,you guys,261,261,0,,,,,,,,,,,,,,,,,,,,,stress reliever,413,394,-19,get your free,263,,,,,,
watches,55,74,19,,,,,play this game,30,34,4,,,,,see results,267,267,0,,,,,,,,,,,,,,,,,,,,,test your brain,414,395,-19,heart disease,266,,,,,,
travelbag,60,79,19,,,,,loved ones,34,38,4,,,,,hairgrowth,13,12,-1,,,,,,,,,,,,,,,,,,,,,give it a shot,416,397,-19,swipe left,273,,,,,,
hat,67,86,19,,,,,download now and try it,37,41,4,,,,,black friday,16,15,-1,,,,,,,,,,,,,,,,,,,,,download for fun and free,460,441,-19,,,,,,,,
reading glasses,95,114,19,,,,,found my perfect hairstyle,38,42,4,,,,,dark spots,22,21,-1,,,,,,,,,,,,,,,,,,,,,download for free,496,477,-19,,,,,,,,
elegant,139,158,19,,,,,made easy,57,61,4,,,,,shop now,32,31,-1,,,,,,,,,,,,,,,,,,,,,try it,22,2,-20,,,,,,,,
linen,275,294,19,,,,,credit check,59,63,4,,,,,shopblackfriday,40,39,-1,,,,,,,,,,,,,,,,,,,,,most addictive game,23,3,-20,,,,,,,,
cotton linen,425,444,19,,,,,free shipping,61,65,4,,,,,fragrances,69,68,-1,,,,,,,,,,,,,,,,,,,,,puzzle game,24,4,-20,,,,,,,,
summer,19,37,18,,,,,free app,68,72,4,,,,,grab it now,133,132,-1,,,,,,,,,,,,,,,,,,,,,play for free,25,5,-20,,,,,,,,
streetwear,42,60,18,,,,,do everything you want,245,249,4,,,,,body cream,136,135,-1,,,,,,,,,,,,,,,,,,,,,addictive game,31,11,-20,,,,,,,,
get yours,69,87,18,,,,,get your dream,254,258,4,,,,,i love this,156,155,-1,,,,,,,,,,,,,,,,,,,,,play now for free,48,28,-20,,,,,,,,
denimdress,269,287,18,,,,,limited time,310,314,4,,,,,try this,29,27,-2,,,,,,,,,,,,,,,,,,,,,now for free,71,51,-20,,,,,,,,
get them,429,447,18,,,,,no bots,322,326,4,,,,,4 free gifts,50,48,-2,,,,,,,,,,,,,,,,,,,,,free to get,73,53,-20,,,,,,,,
denim,12,29,17,,,,,crypto exchange,325,329,4,,,,,summer,52,50,-2,,,,,,,,,,,,,,,,,,,,,everyone go play,90,70,-20,,,,,,,,
loungewear,35,52,17,,,,,check it out,327,331,4,,,,,razor,116,114,-2,,,,,,,,,,,,,,,,,,,,,for fun,116,96,-20,,,,,,,,
plussizefashion,38,55,17,,,,,for playing,377,381,4,,,,,skincare routine,159,157,-2,,,,,,,,,,,,,,,,,,,,,start playing,121,101,-20,,,,,,,,
skirt,89,106,17,,,,,ai interior design app,393,397,4,,,,,self tanner,191,189,-2,,,,,,,,,,,,,,,,,,,,,much fun,127,107,-20,,,,,,,,
get yours now,261,278,17,,,,,meet girls online,400,404,4,,,,,red,310,308,-2,,,,,,,,,,,,,,,,,,,,,rescue survivors,131,111,-20,,,,,,,,
wallets,268,285,17,,,,,solve this,468,472,4,,,,,your teeth,316,314,-2,,,,,,,,,,,,,,,,,,,,,sign up,142,122,-20,,,,,,,,
cotton,31,47,16,,,,,free 3,473,477,4,,,,,serum,20,17,-3,,,,,,,,,,,,,,,,,,,,,can you solve it,149,129,-20,,,,,,,,
clothes,57,73,16,,,,,online pregnancy test,474,478,4,,,,,eyelash,26,23,-3,,,,,,,,,,,,,,,,,,,,,can you survive,180,160,-20,,,,,,,,
christmasgiftideas,93,109,16,,,,,watch this,480,484,4,,,,,get it,31,28,-3,,,,,,,,,,,,,,,,,,,,,be the best banker,190,170,-20,,,,,,,,
every color,210,226,16,,,,,for free today,482,486,4,,,,,foundation,37,34,-3,,,,,,,,,,,,,,,,,,,,,every single,451,431,-20,,,,,,,,
tops,220,236,16,,,,,watch live,494,498,4,,,,,promotion may have ended,61,58,-3,,,,,,,,,,,,,,,,,,,,,challenge your brain,56,35,-21,,,,,,,,
chain,246,262,16,,,,,sign up,19,22,3,,,,,gel,73,70,-3,,,,,,,,,,,,,,,,,,,,,i can’t stop playing,57,36,-21,,,,,,,,
sold out,255,271,16,,,,,play this,29,32,3,,,,,winter,78,75,-3,,,,,,,,,,,,,,,,,,,,,super stress-relieving games,80,59,-21,,,,,,,,
sunglass,2,17,15,,,,,can you do better,65,68,3,,,,,tired eyes,104,101,-3,,,,,,,,,,,,,,,,,,,,,giftcode: rokvictory,92,71,-21,,,,,,,,
get one,115,130,15,,,,,click to see,71,74,3,,,,,try before you buy,190,187,-3,,,,,,,,,,,,,,,,,,,,,try it now for free,95,74,-21,,,,,,,,
red,155,170,15,,,,,5 minutes,78,81,3,,,,,free gift,308,305,-3,,,,,,,,,,,,,,,,,,,,,play instantly,104,83,-21,,,,,,,,
sunglasses,4,18,14,,,,,one tap,89,92,3,,,,,that girl,314,311,-3,,,,,,,,,,,,,,,,,,,,,the battlefield,105,84,-21,,,,,,,,
90% off,36,50,14,,,,,watch more for free,198,201,3,,,,,sunscreen,45,41,-4,,,,,,,,,,,,,,,,,,,,,dominate the battlefield,112,91,-21,,,,,,,,
romper,162,176,14,,,,,app now,234,237,3,,,,,eye cream,51,47,-4,,,,,,,,,,,,,,,,,,,,,super satisfying,124,103,-21,,,,,,,,
40%off,181,195,14,,,,,call me,314,317,3,,,,,moisturizer,59,55,-4,,,,,,,,,,,,,,,,,,,,,find out,137,116,-21,,,,,,,,
high waisted,198,212,14,,,,,clap to find your phone,318,321,3,,,,,every day,88,84,-4,,,,,,,,,,,,,,,,,,,,,puzzle adventure,151,130,-21,,,,,,,,
sweatshirt,26,39,13,,,,,make music,320,323,3,,,,,body oil,91,87,-4,,,,,,,,,,,,,,,,,,,,,start now,168,147,-21,,,,,,,,
hoodies,27,40,13,,,,,are here,330,333,3,,,,,tattoo,92,88,-4,,,,,,,,,,,,,,,,,,,,,want to play,245,224,-21,,,,,,,,
winterfashion,92,105,13,,,,,download the app now,331,334,3,,,,,new year's sale,101,97,-4,,,,,,,,,,,,,,,,,,,,,tap in,388,367,-21,,,,,,,,
for summer,120,133,13,,,,,next level,333,336,3,,,,,soap,109,105,-4,,,,,,,,,,,,,,,,,,,,,meet your al soulmate,401,380,-21,,,,,,,,
belt,78,90,12,,,,,buy and sell,370,373,3,,,,,tubing mascara,410,406,-4,,,,,,,,,,,,,,,,,,,,,can you feed the hole,421,400,-21,,,,,,,,
smartglass,98,110,12,,,,,training app,388,391,3,,,,,hairgrowth #hairgrowthtips,413,409,-4,,,,,,,,,,,,,,,,,,,,,pvp,424,403,-21,,,,,,,,
midsizefashion,114,126,12,,,,,hair styles,389,392,3,,,,,lash serum,322,317,-5,,,,,,,,,,,,,,,,,,,,,check it out,447,426,-21,,,,,,,,
girls,171,183,12,,,,,ask anything,485,488,3,,,,,hair serum,323,318,-5,,,,,,,,,,,,,,,,,,,,,check it,448,427,-21,,,,,,,,
30% off,180,192,12,,,,,try this,10,12,2,,,,,lace wig,324,319,-5,,,,,,,,,,,,,,,,,,,,,commute game that’s not boring,28,6,-22,,,,,,,,
crossbody,230,242,12,,,,,new app,17,19,2,,,,,eyelashes,30,24,-6,,,,,,,,,,,,,,,,,,,,,free to play,30,8,-22,,,,,,,,
stickybra,243,255,12,,,,,new app users,23,25,2,,,,,lipstick,38,32,-6,,,,,,,,,,,,,,,,,,,,,stop playing,32,10,-22,,,,,,,,
baggysweatpants,342,354,12,,,,,for new app users,24,26,2,,,,,wigtok,46,40,-6,,,,,,,,,,,,,,,,,,,,,play to win real money,34,12,-22,,,,,,,,
for any occasion,25,36,11,,,,,click to see more,26,28,2,,,,,for a limited time,118,112,-6,,,,,,,,,,,,,,,,,,,,,real cash,40,18,-22,,,,,,,,
loafers,150,161,11,,,,,know what,62,64,2,,,,,sold out,214,208,-6,,,,,,,,,,,,,,,,,,,,,take me,60,38,-22,,,,,,,,
cowboy boots,319,330,11,,,,,best digital camera filters,73,75,2,,,,,purple,216,210,-6,,,,,,,,,,,,,,,,,,,,,try now,86,64,-22,,,,,,,,
strapless bra,406,417,11,,,,,every day,84,86,2,,,,,save up to 56%,328,322,-6,,,,,,,,,,,,,,,,,,,,,play free,91,69,-22,,,,,,,,
pink,70,80,10,,,,,wanna know,104,106,2,,,,,dry shampoo,85,78,-7,,,,,,,,,,,,,,,,,,,,,more fun,229,207,-22,,,,,,,,
rings,83,93,10,,,,,is free,111,113,2,,,,,curly wig,330,323,-7,,,,,,,,,,,,,,,,,,,,,can you win,289,267,-22,,,,,,,,
handbag,121,131,10,,,,,your iphone,113,115,2,,,,,wake up,334,327,-7,,,,,,,,,,,,,,,,,,,,,teas,385,363,-22,,,,,,,,
great deal,176,186,10,,,,,clean up,185,187,2,,,,,time offer,335,328,-7,,,,,,,,,,,,,,,,,,,,,explore new wasteland gameplay,396,374,-22,,,,,,,,
shopblackfriday,56,65,9,,,,,ar draw,353,355,2,,,,,click the link,336,329,-7,,,,,,,,,,,,,,,,,,,,,"hire wisely, manage perfectly",397,375,-22,,,,,,,,
yogapant,104,113,9,,,,,zero fees,356,358,2,,,,,new favorite,424,417,-7,,,,,,,,,,,,,,,,,,,,,phiên bản mới,398,376,-22,,,,,,,,
crossbodybag,141,150,9,,,,,before growing your hair,357,359,2,,,,,anti-aging,141,133,-8,,,,,,,,,,,,,,,,,,,,,good game,420,398,-22,,,,,,,,
blue,138,146,8,,,,,click to,8,9,1,,,,,cream,47,38,-9,,,,,,,,,,,,,,,,,,,,,love it,450,428,-22,,,,,,,,
black friday sale,167,175,8,,,,,download the,16,17,1,,,,,mask,54,45,-9,,,,,,,,,,,,,,,,,,,,,win real money,42,19,-23,,,,,,,,
contact lenses,199,207,8,,,,,live chat,51,52,1,,,,,black friday sale,140,131,-9,,,,,,,,,,,,,,,,,,,,,prove it,55,32,-23,,,,,,,,
project cloud shoes,258,266,8,,,,,90% of players failed,55,56,1,,,,,eau de parfum,220,211,-9,,,,,,,,,,,,,,,,,,,,,this fun game,77,54,-23,,,,,,,,
sweaters,398,406,8,,,,,live video chat,96,97,1,,,,,christmasgiftideas,404,395,-9,,,,,,,,,,,,,,,,,,,,,think you can do better,123,100,-23,,,,,,,,
baggyjeans,76,83,7,,,,,wanna know what happens next,101,102,1,,,,,huge sale,433,424,-9,,,,,,,,,,,,,,,,,,,,,get a free,214,191,-23,,,,,,,,
buy 2 get 2 free,338,345,7,,,,,livestreaming social app,102,103,1,,,,,for mature skin,174,164,-10,,,,,,,,,,,,,,,,,,,,,do you want to play,250,227,-23,,,,,,,,
bluelightglasses,223,229,6,,,,,get 25%,355,356,1,,,,,half wig,237,227,-10,,,,,,,,,,,,,,,,,,,,,install now,252,229,-23,,,,,,,,
watch out,252,258,6,,,,,for free,1,1,0,,,,,nskincare,44,33,-11,,,,,,,,,,,,,,,,,,,,,destroy your enemies,281,258,-23,,,,,,,,
shop our top picks,314,320,6,,,,,free,2,2,0,,,,,lotion,97,86,-11,,,,,,,,,,,,,,,,,,,,,mahjong puzzle,294,271,-23,,,,,,,,
75% off,397,403,6,,,,,download now,3,3,0,,,,,10 new years clearance,105,94,-11,,,,,,,,,,,,,,,,,,,,,win real cash,67,43,-24,,,,,,,,
code new,102,107,5,,,,,try it,4,4,0,,,,,real results,132,121,-11,,,,,,,,,,,,,,,,,,,,,try this,136,112,-24,,,,,,,,
hurry up,381,386,5,,,,,this app,5,5,0,,,,,don’t miss,180,169,-11,,,,,,,,,,,,,,,,,,,,,free play now,150,126,-24,,,,,,,,
panty,80,84,4,,,,,try it now,6,6,0,,,,,worth the hype,365,354,-11,,,,,,,,,,,,,,,,,,,,,ready to manage your casino,286,262,-24,,,,,,,,
don’t miss,165,169,4,,,,,continue watching,7,7,0,,,,,pressons,76,64,-12,,,,,,,,,,,,,,,,,,,,,controlled,38,13,-25,,,,,,,,
