Apparel & Accessories_hashtag,Apparel & Accessories_rank_today,Apparel & Accessories_rank_prev_state,Apparel & Accessories_rank_delta,Appliances_hashtag,Appliances_rank_today,Appliances_rank_prev_state,Appliances_rank_delta,Apps_hashtag,Apps_rank_today,Apps_rank_prev_state,Apps_rank_delta,"Baby, Kids & Maternity_hashtag","Baby, Kids & Maternity_rank_today","Baby, Kids & Maternity_rank_prev_state","Baby, Kids & Maternity_rank_delta",Beauty & Personal Care_hashtag,Beauty & Personal Care_rank_today,Beauty & Personal Care_rank_prev_state,Beauty & Personal Care_rank_delta,Business Services_hashtag,Business Services_rank_today,Business Services_rank_prev_state,Business Services_rank_delta,E-Commerce (Non-app)_hashtag,E-Commerce (Non-app)_rank_today,E-Commerce (Non-app)_rank_prev_state,E-Commerce (Non-app)_rank_delta,Education_hashtag,Education_rank_today,Education_rank_prev_state,Education_rank_delta,Financial Services_hashtag,Financial Services_rank_today,Financial Services_rank_prev_state,Financial Services_rank_delta,Food & Beverage_hashtag,Food & Beverage_rank_today,Food & Beverage_rank_prev_state,Food & Beverage_rank_delta,Games_hashtag,Games_rank_today,Games_rank_prev_state,Games_rank_delta,Health_hashtag,Health_rank_today,Health_rank_prev_state,Health_rank_delta,Home Improvement_hashtag,Home Improvement_rank_today,Home Improvement_rank_prev_state,Home Improvement_rank_delta
fleece lined,340,422,82,don’t miss out,40,48,8,wallpapers,386,487,101,moms,18,23,5,shop our,344,426,82,now open,115,150,35,sold out,145,177,32,free workshop,9,12,3,check your eligibility,105,127,22,olive oil,44,63,19,pvp,367,424,57,health care,196,242,46,good deal,116,137,21
starts now,363,435,72,thermal brush,32,39,7,fun communication,337,418,81,mattress,16,20,4,buy 2 get,316,395,79,homes,93,113,20,every moment,105,128,23,learn more today,20,23,3,swipe left,102,120,18,micro ingredients,53,71,18,fight zombies and escape,309,353,44,swipe left,233,273,40,cloud-like,114,133,19
every occasion,357,428,71,don’t miss,36,43,7,your dog,411,483,72,baby monitor,13,16,3,grab the,305,378,73,home,92,111,19,shirt,108,129,21,enroll now,28,31,3,from $39/month,91,107,16,delicious meals made simple,40,52,12,your enemies,264,306,42,best price,169,206,37,dining table,115,134,19
get them,359,429,70,laser beauty treatments,20,26,6,click here,367,432,65,limited time,17,19,2,best selling boujee body oil,401,469,68,see how,77,92,15,get high,114,135,21,hs diploma,30,33,3,link below,49,64,15,free meal,41,53,12,new characters,392,434,42,4 implants,115,146,31,that keeps hot sleepers cool,121,140,19
love story,368,437,69,stock up,34,40,6,try this app for free,263,319,56,playmat,19,21,2,boujee body oil,402,470,68,professional excavator services,83,98,15,each week,115,136,21,parents,4,6,2,before midnight,125,138,13,for a limited time,42,54,12,the end,349,386,37,don’t miss,147,177,30,5 minutes,112,129,17
number 1,370,439,69,great deal,8,12,4,get reward now,335,391,56,baby clothes,11,12,1,makeupkit,400,467,67,that easy,97,112,15,unique items,117,137,20,high school,7,9,2,apply before midnight,126,139,13,make it,69,81,12,check it out,411,447,36,get free,190,220,30,helps you,113,130,17
100% cotton,372,440,68,steam cleaner,18,22,4,swipe left to learn more,312,365,53,shop now,12,13,1,radiant skin,374,439,65,peace of mind,141,156,15,take 20% off,144,164,20,free trial,13,15,2,limited spots,127,140,13,get your,49,60,11,check it,412,448,36,free consult,221,251,30,clearance sale,82,98,16
sale ends midnight,334,401,67,vacuumsealer,30,34,4,phone service,400,451,51,baby,1,1,0,right here,370,434,64,up to 40% off,90,102,12,join the live,146,166,20,apply today,14,16,2,save money,109,121,12,miss out,51,62,11,every single,415,451,36,shop discount sale,222,252,30,link in bio,109,125,16
75% off,331,397,66,every time,41,44,3,tap to watch the drama,401,452,51,kids,2,2,0,it’s on sale,372,436,64,free,73,83,10,limited time only,151,171,20,dental assistant,18,20,2,free case review,62,71,9,milk,56,67,11,free draws,417,453,36,promotion may have ended,141,170,29,the right,60,75,15
savvy backpack,329,394,65,nugget ice maker,42,45,3,first chat is free,98,148,50,diaper bag,3,3,0,you should,413,477,64,free consultation,78,88,10,all day,119,138,19,trading class,22,24,2,get $300 off,99,108,9,stress-free,39,49,10,for all ages,418,454,36,full dental implants,184,213,29,62%off,69,83,14
ridge wallet,314,377,63,blender,5,7,2,pay later,392,442,50,your kids,4,4,0,use it,365,428,63,use tiktok,61,70,9,save big,120,139,19,from home,26,28,2,cash back,100,109,9,no sugar,46,56,10,join today,419,455,36,glow-up,185,214,29,that restores relaxed mornings,99,113,14
unibling colored lenses,315,378,63,fan,9,11,2,"messages, organized and safe",394,444,50,20 % off,5,5,0,valentine’s day,369,431,62,create an account today,66,75,9,best price,143,162,19,medical assistant,27,29,2,insurance program,133,142,9,out now,64,74,10,all ages,420,456,36,pain relief,146,174,28,back pain,103,117,14
free today,321,384,63,black friday sale,12,14,2,trusted by millions,395,445,50,your baby,6,6,0,lip tint,398,460,62,for free today,154,163,9,body cream,148,167,19,learn how,6,7,1,florida drivers,134,143,9,granola,77,87,10,"hire wisely, manage perfectly",362,397,35,qualify today,189,217,28,hot sleepers,108,122,14
new arrivals,317,379,62,vacuum cleaner,17,19,2,0/month,398,448,50,for kids,7,7,0,growth serum,387,448,61,puzzles,157,166,9,get 50%,150,169,19,apply now,16,17,1,life insurance program,135,144,9,at home,63,72,9,build your roadside empire,364,399,35,veterans,183,210,27,ringdoorbell,81,94,13
gold plated,303,362,59,limited time,25,27,2,get your free,408,458,50,toys,8,8,0,fast 3-day shipping,389,450,61,try for free today,158,167,9,flash sale now,161,180,19,free,17,18,1,300 off,97,105,8,high-quality,38,45,7,survive chaos,368,403,35,tap the,198,225,27,upgrade your space,67,79,12
only $99,300,357,57,shop now,26,28,2,free time,414,464,50,toy,9,9,0,for healthy hair,390,451,61,stickerbook,159,168,9,get 15%,103,121,18,discover how,21,22,1,for contractors,98,106,8,15% off,57,64,7,virtual slots,410,445,35,astaxanthin,201,228,27,muddy mat,68,80,12
v-neck,278,333,55,shopblackfriday,27,29,2,cash back,415,465,50,for babies,10,10,0,try before,357,416,59,limited time,160,169,9,the link in bio,104,122,18,get started,24,25,1,home insurance,47,54,7,high protein,55,61,6,limited time only,422,457,35,get 30%,204,231,27,10 new years clearance sale,90,101,11
t-shirts,348,402,54,good deal,39,41,2,cleanyourgallery,389,438,49,free shipping,14,14,0,back guarantee,386,445,59,take the quiz,58,66,8,get 20%,122,140,18,make it,33,34,1,click to,55,62,7,your cart,59,65,6,tap and play,423,458,35,get 30% off,205,232,27,your phone,75,85,10
wonderful deal,352,405,53,knee pain,45,47,2,get more,405,454,49,baby carrier,15,15,0,actually works,153,211,58,create an account,59,67,8,scrubs,142,160,18,speak like a leader,1,1,0,credit history,82,89,7,first order,10,15,5,rule the galaxy,348,382,34,it now,163,189,26,new app,78,88,10
come in,358,411,53,at home,14,15,1,more fun,413,462,49,,,,,lash magic,361,419,58,tiktok ads,60,68,8,tap to,154,172,18,learn more,2,2,0,personal loans,103,110,7,your first order,11,16,5,tap in,354,388,34,braces,181,207,26,new app users,79,89,10
tap to,362,413,51,black friday,1,1,0,cash app,385,433,48,,,,,clusters,215,272,57,cash offer,69,77,8,join our live,101,118,17,100% online,3,3,0,click the link below,104,111,7,grab yours,70,75,5,must be 18,432,466,34,radiant skin,207,233,26,hybrid mattress,80,90,10
special offer,145,194,49,humidifier,2,2,0,creat stunning photos in seconds,423,471,48,,,,,eye masks,355,412,57,homes for sale,95,103,8,20% off sitewide,141,158,17,become a certified ai master,5,5,0,see how,26,32,6,per serving,71,76,5,survive the ultimate wasteland,268,300,32,let's talk,217,243,26,dream home,93,103,10
