Apparel_hashtag,Apparel_rank_today,Apparel_rank_prev_state,Apparel_rank_delta,Beauty_Personal_Care_hashtag,Beauty_Personal_Care_rank_today,Beauty_Personal_Care_rank_prev_state,Beauty_Personal_Care_rank_delta,Financial_Services_hashtag,Financial_Services_rank_today,Financial_Services_rank_prev_state,Financial_Services_rank_delta,Food_Beverage_hashtag,Food_Beverage_rank_today,Food_Beverage_rank_prev_state,Food_Beverage_rank_delta,Home_Improvement_hashtag,Home_Improvement_rank_today,Home_Improvement_rank_prev_state,Home_Improvement_rank_delta,Tech_Electronics_hashtag,Tech_Electronics_rank_today,Tech_Electronics_rank_prev_state,Tech_Electronics_rank_delta,Vehicle_Transportation_hashtag,Vehicle_Transportation_rank_today,Vehicle_Transportation_rank_prev_state,Vehicle_Transportation_rank_delta
coldweather,45,64,19,lashserum,30,51,21,cvsdeals,38,83,45,kimchi,64,86,22,,,,,ricecooker,49,92,43,dully,62,95,33
upcycling,74,89,15,peekaboohair,39,60,21,walgreensdeals,49,74,25,homemadebread,34,49,15,,,,,rechargeablelights,32,61,29,starlights,59,83,24
womenssweatshirtset,23,36,13,sendsounds,61,80,19,budgettok,71,88,17,lasagna,47,61,14,,,,,ereader,55,79,24,jaguar,22,45,23
bedazzled,80,92,12,mirrorselfie,64,83,19,sidemoney,47,59,12,bakingtok,66,79,13,,,,,minipowerbank,78,99,21,airbus,45,65,20
bucees,88,100,12,guasha,63,81,18,buildinpublic,50,61,11,fromscratch,36,47,11,,,,,tripode,51,71,20,cls,63,81,18
goodwill,24,35,11,centella,71,87,16,integrity,30,40,10,ribeye,81,92,11,,,,,cctvcamera,70,89,19,sqauttedtrucks🤮,81,97,16
moodyaesthetic,27,37,10,greymarket,55,70,15,moneymanagement,29,38,9,granola,80,89,9,,,,,kneemassager,44,62,18,squatedtrucks🤮,20,35,15
christmasgifts,73,83,10,bellavitaluxury,73,88,15,businessmindset,48,57,9,savorygirl,63,71,8,,,,,headphonesforsleeping,67,84,17,nycsubway,56,71,15
retailtherapy,91,99,8,drmelaxinpeelshot,77,90,13,moneymatters,86,95,9,onionboil,62,69,7,,,,,thermalprinter,79,95,16,dieseltruck,27,40,13
sparkleandshine,13,20,7,dysonairwrap,33,45,12,finanzas,20,28,8,ihop,78,85,7,,,,,handmassager,45,60,15,coldstart,34,47,13
looks,31,38,7,althair,66,77,11,fintech,63,70,7,gumbo,91,98,7,,,,,standmixer,58,72,14,baddriver,52,64,12
pandora,32,39,7,grayhair,68,79,11,taxtips,27,33,6,hibachi,31,37,6,,,,,audiophile,68,80,12,carsoftiktok😈,66,78,12
softaesthetic,9,15,6,projectpan,38,48,10,makemoneyfromyourphone,32,37,5,coffeebar,50,56,6,,,,,kindlecase,47,58,11,dunes,68,79,11
cleanaesthetic,11,17,6,peekaboo,18,27,9,daytradingtips,58,63,5,kitchengadgetfinds,85,91,6,,,,,electricgear,46,56,10,dumper,82,93,11
allblack,37,43,6,2016makeup,16,24,8,swingtrading,67,72,5,mealprepideas,11,16,5,,,,,starlink,33,42,9,faba,53,63,10
pacificnorthwest,19,24,5,lipmask,92,100,8,finances,31,35,4,sweetpotato,28,33,5,,,,,ipadgirly,30,38,8,wreck,41,50,9
vendor,39,44,5,slimeasmr,14,21,7,highticketsales,54,58,4,nespresso,27,31,4,,,,,hometheater,41,49,8,bubba,19,27,8
cowgirlstyle,41,46,5,freeforms,24,31,7,credittips,65,69,4,courtneycook,37,41,4,,,,,vacuummop,57,64,7,squatttedtrucks🤢,25,33,8
usbeauty,60,65,5,hairflip,11,17,6,earnmoneyfromhome,13,16,3,pomegranate,60,64,4,,,,,sharkvacuum,29,35,6,yozma,14,21,7
latinavibes,62,67,5,settingspray,29,35,6,taxrefund,22,25,3,celiacdisease,87,90,3,,,,,portablewifi,37,43,6,jumpstarter,21,28,7
nightlifebeauty,64,69,5,pixie,41,47,6,financialeducation,26,29,3,deliciousfood,19,21,2,,,,,ios26wallpaper,39,44,5,caraccessoriesforgirls,77,84,7
thriftfinds,12,16,4,selftan,51,57,6,costofliving,42,45,3,hotchocolate,43,45,2,,,,,magneticcharger,40,45,5,f10,79,86,7
metaglasses,21,25,4,ghkcu,56,62,6,moneyhabits,59,62,3,ninjacreami,57,59,2,,,,,wifiextender,24,28,4,usmilitary,6,12,6
grungeglam,46,50,4,lush,59,65,6,businesstok,61,64,3,seconddateupdate,3,4,1,,,,,blackfriday2025,62,66,4,usnavy,18,23,5
confidenceboost,20,23,3,lashgrowth,85,91,6,childtaxcredit,94,97,3,costco,4,5,1,,,,,wifi,6,9,3,modified,50,55,5
southernbelle,42,45,3,morphe,90,96,6,entrepreneurlife,5,7,2,sourdoughtok,17,18,1,,,,,wirelesscharging,14,17,3,expensive,13,17,4
rainydaylook,48,51,3,bathandbodyworks,13,18,5,shopify,15,17,2,trenting,22,23,1,,,,,creality,36,39,3,chipeo,30,34,4
indoorbeauty,49,52,3,skinbarrier,25,30,5,investingforbeginners,25,27,2,dumplings,24,25,1,,,,,microfonos,65,68,3,trx,32,36,4
californiagirl,58,61,3,бьюти,32,37,5,systems,89,91,2,biscoff,41,42,1,,,,,fitnesstracker,71,74,3,915,37,41,4
activewear,63,66,3,cameraroll,36,41,5,moneymindset,10,11,1,onion,65,66,1,,,,,honormagic8pro,84,87,3,rs3,54,58,4
whimsical,25,27,2,drmelaxin,7,11,4,tradingtips,21,22,1,sourdough,1,1,0,,,,,3dprinter,8,10,2,123millionviews,39,42,3
diamond,30,32,2,blush,8,12,4,debtpayoffjourney,45,46,1,brookeandjubal,2,2,0,,,,,kindlegirlie,10,12,2,digrigs🌾,11,13,2
coachbag,61,63,2,glittermakeup,9,13,4,bnb,80,81,1,seconddate,6,6,0,,,,,jbl,13,15,2,flames,23,25,2
polkadot,92,94,2,columbiasc,21,25,4,downpaymentassistance,81,82,1,sourdoughbread,7,7,0,,,,,steamiron,27,29,2,s650,42,44,2
urbanchic,17,18,1,barbertok,40,44,4,daytrade,93,94,1,highproteinmeals,13,13,0,,,,,cameras,31,33,2,unitedairlines,92,94,2
sunsetaesthetic,54,55,1,грвм,45,49,4,mambafx,98,99,1,popcorn,26,26,0,,,,,flashforge,88,90,2,emoto,7,8,1
texasbeauty,55,56,1,colormixing,49,53,4,tradingjourney,99,100,1,bajablast,29,29,0,,,,,kindle,3,4,1,tire,47,48,1
miaminights,57,58,1,glowymakeup,54,58,4,financialfreedom,1,1,0,pregnancycraving,67,67,0,,,,,bambulab,12,13,1,caraccessoriesforwomen,48,49,1
promisering,87,88,1,mirrorpics,88,92,4,wealth,2,2,0,kitchengadgetmusthave,68,68,0,,,,,osmopocket3,23,24,1,cinematic,1,1,0
tiktokshopholidayhaul,1,1,0,accutane,89,93,4,makemoneyonline,3,3,0,lamb,72,72,0,,,,,vloggingcamera,35,36,1,squattedtrucks🤢,2,2,0
tiktokshopblackfriday,2,2,0,золотоеяблоко,94,98,4,taxseason,4,4,0,snackplate,88,88,0,,,,,webcam,50,51,1,carcrash,3,3,0
tiktokshopcybermonday,3,3,0,косметика,12,15,3,daytrader,6,6,0,sourdoughstarter,9,8,-1,,,,,innovation,1,1,0,drift,4,4,0
thrifting,5,5,0,medicubeskincare,26,29,3,financialliteracy,8,8,0,7brew,10,9,-1,,,,,ipad,2,2,0,dragrace,5,5,0
thrift,6,6,0,pdrn,37,40,3,personalfinance,9,9,0,tendernism,15,14,-1,,,,,massager,5,5,0,clean🧼,9,9,0
knitting,40,40,0,dermatologist,60,63,3,irs,14,14,0,girldinner,18,17,-1,,,,,heater,11,11,0,gmt800,10,10,0
nycstyle,47,47,0,begginernailtech,65,68,3,tax,18,18,0,juice,23,22,-1,,,,,heatingpad,18,18,0,caraccident,16,16,0
baddiealert,53,53,0,dyson,44,46,2,moneysavingtips,19,19,0,hotpot,33,32,-1,,,,,spaceheater,19,19,0,n55,61,61,0
needlepoint,68,68,0,russianmanicure,52,54,2,homebuyingtips,24,24,0,7brewcoffee,35,34,-1,,,,,kindleaccessories,22,22,0,360camera,72,72,0
reseller,8,7,-1,browartist,80,82,2,taxprofessional,53,53,0,breadmaking,59,58,-1,,,,,sleepheadbandwithbluetooth,34,34,0,vision,12,11,-1
regalos,75,74,-1,sensitiveskincare,84,86,2,womeninbusiness,11,10,-1,chickfila,5,3,-2,,,,,ipada16,76,76,0,carhacks,15,14,-1
tiktokcreatorpicks,77,76,-1,бьютиблог,95,97,2,taxtok,51,50,-1,drpepper,12,10,-2,,,,,phonecharger,4,3,-1,usairforce,40,39,-1
tiktokholidayhaul,10,8,-2,naturalglow,3,4,1,founderstory,68,67,-1,costcofinds,14,12,-2,,,,,айфон,7,6,-1,cross,8,6,-2
womensclothingtiktokshop,44,42,-2,dollartreefinds,4,5,1,taxes,7,5,-2,keto,30,28,-2,,,,,phonemount,9,8,-1,madeinjapan,64,62,-2
cityglam,59,57,-2,whitetoes,6,7,1,lifeinsurance,17,15,-2,sourdoughforbeginners,38,36,-2,,,,,djiosmopocket3,15,14,-1,barnfind,46,43,-3
verão,7,4,-3,cyklar,74,75,1,savingschallenge,23,21,-2,savory,42,40,-2,,,,,rechargeable,17,16,-1,fix,24,20,-4
winterfashion,15,12,-3,sharkflexstyle,83,84,1,settlement,41,39,-2,cajun,46,44,-2,,,,,cctv,21,20,-1,waymo,28,24,-4
pacsunhoodie,65,62,-3,slime,1,1,0,entrepreneurtok,43,41,-2,mealplan,76,73,-3,,,,,lightbulb,82,81,-1,gmcdenali,55,51,-4
giftsforhim,34,30,-4,dollartree,2,2,0,customersuccess,44,42,-2,nothingbundtcake,96,93,-3,,,,,skyfire,92,91,-1,snowremoval,57,53,-4
winteroutfit,52,48,-4,basedbodyworks,22,22,0,tradingpsychology,62,60,-2,shawarma,39,35,-4,,,,,4in1armrestcharger,25,23,-2,carcamera,95,91,-4
shopnow,81,77,-4,antiagingskincare,28,28,0,tradingmindset,78,76,-2,energydrinks,16,11,-5,,,,,officeessentials,42,40,-2,quattro,35,30,-5
gifts,14,9,-5,bodywash,42,42,0,insurance,16,13,-3,tenderism,48,43,-5,,,,,handwarmersrechargeable,80,78,-2,carmount,43,38,-5
