Apparel_hashtag,Apparel_rank_today,Apparel_rank_prev_state,Apparel_rank_delta,Beauty_Personal_Care_hashtag,Beauty_Personal_Care_rank_today,Beauty_Personal_Care_rank_prev_state,Beauty_Personal_Care_rank_delta,Financial_Services_hashtag,Financial_Services_rank_today,Financial_Services_rank_prev_state,Financial_Services_rank_delta,Food_Beverage_hashtag,Food_Beverage_rank_today,Food_Beverage_rank_prev_state,Food_Beverage_rank_delta,Home_Improvement_hashtag,Home_Improvement_rank_today,Home_Improvement_rank_prev_state,Home_Improvement_rank_delta,Tech_Electronics_hashtag,Tech_Electronics_rank_today,Tech_Electronics_rank_prev_state,Tech_Electronics_rank_delta,Vehicle_Transportation_hashtag,Vehicle_Transportation_rank_today,Vehicle_Transportation_rank_prev_state,Vehicle_Transportation_rank_delta
shamrock,56,94,38,hismile,64,97,33,traderlife,71,100,29,jboolin,29,72,43,,,,,stormprep,36,81,45,kwiktrip,85,100,15
seniorprom,59,87,28,lipcombotutorial,36,57,21,daveramsey,65,88,23,pinkdrink,48,87,39,,,,,galaxys26,11,54,43,longhorn,33,41,8
flipflops,40,53,13,makeupremover,63,84,21,cvscouponing,19,40,21,cheesecakefactory,57,81,24,,,,,3in1magnet,55,88,33,rideout,28,31,3
denimshorts,77,89,12,pantene,67,88,21,onlinemarketing,34,52,18,sourdoughbaking,34,50,16,,,,,grabadora,62,90,28,sebikes,63,66,3
luckycharms,53,64,11,squishytoys,69,86,17,communitybuilding,51,68,17,frozenyogurt,77,91,14,,,,,daphino,66,85,19,dadlore,82,85,3
leopard,50,60,10,athomenails,76,92,16,preciousmetals,74,89,15,littlecaesars,28,41,13,,,,,handmixer,67,86,19,daytona,1,3,2
raybanmeta,67,77,10,makeuporganizer,61,72,11,blackrock,44,56,12,healthyrecipe,32,45,13,,,,,otg,82,100,18,carsoftiktok😈,78,80,2
comfystyle,85,95,10,neutrogena,79,89,10,moneygoals,31,39,8,longhornsteakhouse,70,83,13,,,,,portablechargers,59,76,17,lakehavasu,80,82,2
springvibes,52,59,7,updo,81,91,10,grantfunding,40,48,8,erewhon,44,56,12,,,,,ledbulb,77,93,16,chipeo,48,49,1
tiktokshopcreatorspicks,61,68,7,waxjugasmr,32,41,9,vendingmachinebusiness,67,75,8,disnevlandparis,78,90,12,,,,,torras,81,94,13,10thgenaccord,86,87,1
funnyrelatable,26,32,6,bedazzling,34,42,8,digitalassets,23,30,7,bentobox,26,36,10,,,,,surveillance,22,33,11,launch,91,92,1
springoutfits,36,42,6,beautycreator,72,79,7,founderlife,27,34,7,disnevland,79,88,9,,,,,smarttech,27,38,11,newbike,98,99,1
bikiniseason,55,61,6,ghkcu,24,30,6,finances,25,31,6,healthycooking,88,97,9,,,,,freepower,48,59,11,bunker,40,40,0
polkadot,34,39,5,gopure,46,52,6,momsidehustle,61,67,6,gumbo,41,49,8,,,,,techtrends,15,25,10,odessatx,43,43,0
springstyle,45,50,5,skincarefinds,47,53,6,tjr,5,10,5,breakfasttime,62,69,7,,,,,homeelectronics,25,34,9,leanrig,97,97,0
spring2026,80,85,5,herbalessences,53,59,6,housingmarket,17,22,5,starbuck,82,89,7,,,,,bloodpressuremonitor,26,35,9,gas,2,1,-1
confidenceboost,20,24,4,slimes,56,61,5,fintok,41,46,5,7brewcoffee,19,25,6,,,,,hamradio,32,41,9,squattedtrucks🤢,3,2,-1
bedazzled,31,35,4,eadem,59,64,5,buildyourfuture,85,90,5,hamburger,53,59,6,,,,,protectyourphone,52,61,9,clean🧼,5,4,-1
stpattysday,32,36,4,dye,62,67,5,generationalwealth,13,17,4,littleceasers,81,85,4,,,,,3dprinter,3,11,8,bakersfield,9,8,-1
vacationoutfits,39,43,4,tanningbed,66,71,5,blueprint,15,19,4,maplesyrup,96,100,4,,,,,vacuumseal,39,47,8,yozma,11,10,-1
henna,41,45,4,matureskin,18,22,4,taxtips,16,20,4,coffeedate,17,19,2,,,,,s26ultra,5,12,7,swm,22,21,-1
sparkleandshine,9,12,3,pixie,20,23,3,affordability,69,73,4,fundrink,37,39,2,,,,,fold,84,91,7,digrig,7,5,-2
bikinifashion,30,33,3,mouthwash,30,33,3,homeownership,6,9,3,burger,4,5,1,,,,,munbyn,91,98,7,emoto,8,6,-2
mothersdaygiftideas,35,38,3,cyklar,87,90,3,onlineincome,8,11,3,7brew,5,6,1,,,,,digitalcameras,9,15,6,carcare,13,11,-2
midsizefashion,37,40,3,ugc,7,9,2,integrity,20,23,3,alani,6,7,1,,,,,airpod,16,22,6,squatttedtrucks🤢,20,18,-2
tiktokshopcreatorpick,43,46,3,washday,26,28,2,economia,24,27,3,tastetest,8,9,1,,,,,aromadiffuser,44,50,6,carlife,32,30,-2
springdress,49,52,3,maryruthsorganics,45,47,2,taxes,1,3,2,iftar,13,14,1,,,,,galaxys26ultra,12,17,5,amtrak,66,64,-2
curvyfashion,60,63,3,footcleaning,75,77,2,taxseason,2,4,2,wholefoods,15,16,1,,,,,vloggingcamera,14,19,5,usmilitary,10,7,-3
vans,71,74,3,whitetoes,2,3,1,dollargeneral,3,5,2,daveshotchicken,22,23,1,,,,,preppertok,40,45,5,autodetailing,12,9,-3
marshallshaul,96,99,3,mensgrooming,15,16,1,llc,4,6,2,wendys,27,28,1,,,,,findmy,65,69,4,mobiledetailing,16,13,-3
beautyboss,13,15,2,cleanskinclub,49,50,1,homebuying,10,12,2,strawberryacai,59,60,1,,,,,aquasonic,80,84,4,harleydavidsonmotorcycles,30,27,-3
swimwear,16,18,2,slime,1,1,0,calebhammer,22,24,2,worldoffrozen,1,1,0,,,,,phonestand,6,9,3,mobilemechanic,45,42,-3
promdress,19,21,2,springnails,4,4,0,financialaudit,26,28,2,disneyadventureworld,2,2,0,,,,,cordlessvacuum,10,13,3,carculture,21,17,-4
prom2026,24,26,2,peptide,5,5,0,impuestos,30,32,2,goodnovel,3,3,0,,,,,fastcharge,17,20,3,e85,29,25,-4
babydoll,25,27,2,oil,6,6,0,growthmarketing,90,92,2,dutchbros,10,10,0,,,,,emergencyprep,41,44,3,mobiledetail,93,89,-4
springfashion,5,6,1,complimentary,8,8,0,irs,7,8,1,crawfish,11,11,0,,,,,diypower,45,48,3,spark,24,19,-5
slaymode,15,16,1,facial,10,10,0,wealthmindset,12,13,1,proteinbar,21,21,0,,,,,honormagic8lite,8,10,2,sprinter,60,55,-5
sunglasses,18,19,1,slickback,17,17,0,taxrefund,14,15,1,dumpling,24,24,0,,,,,bigjohnmachine,58,60,2,cheapcars,68,63,-5
simplyluxurious,27,28,1,deodorant,19,19,0,moneymatters,42,43,1,nutella,35,35,0,,,,,latinosinusa,85,87,2,rustremoval,84,79,-5
rossfinds,29,30,1,bodywash,21,21,0,wealthmanagement,83,84,1,lafoodie,58,58,0,,,,,solarsystem,28,29,1,e90,99,94,-5
travelessentials,33,34,1,starterpicks,25,25,0,buildinpublic,29,29,0,sardines,66,66,0,,,,,translator,54,55,1,gasolina,26,20,-6
maxidress,46,47,1,skincaretok,38,38,0,stayathomemomlife,36,36,0,burgerking,14,13,-1,,,,,innovation,1,1,0,lincoln,44,38,-6
heydude,48,49,1,squishyasmr,65,65,0,timefreedom,45,45,0,sourdoughtok,16,15,-1,,,,,macbook,2,2,0,mobiledetailer,51,45,-6
shipping,54,55,1,tanning,3,2,-1,crediteducation,62,62,0,margarita,23,22,-1,,,,,drones,7,7,0,firstcar,56,50,-6
abaya,72,73,1,trim,12,11,-1,taxhelp,91,91,0,ceviche,30,29,-1,,,,,audifonosbluetooth,18,18,0,visalia,71,65,-6
spring,1,1,0,oddlysatisfyingvideo,16,15,-1,financialgoals,55,54,-1,grapes,64,62,-2,,,,,solarcharger,21,21,0,garagetools,94,88,-6
prom,2,2,0,accutane,86,85,-1,educaciónfinanciera,82,81,-1,watertok,65,63,-2,,,,,stereo,49,49,0,usedcars,19,12,-7
bikini,3,3,0,lashartist,14,12,-2,retirementplanning,18,16,-2,caffeine,20,17,-3,,,,,electronicproducts,68,68,0,flames,23,16,-7
tiktokshopstockup,4,4,0,mikaylanogueira,42,40,-2,smartmoney,37,35,-2,caffeineaddiction,51,48,-3,,,,,poweroutage,4,3,-1,jupiter,75,68,-7
softaesthetic,7,7,0,paronychia,70,68,-2,coinbase,46,44,-2,foodreviews,31,27,-4,,,,,cameras,24,23,-1,трактор,79,72,-7
